START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
01/01/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/01/25,01/01/25,07:00 PM,07:00 PM,FALSE,TRUE,01/01/25,03:00 PM,03:00 PM,FREE,BUSY
01/02/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/02/25,01/02/25,07:00 PM,07:00 PM,FALSE,TRUE,01/02/25,03:00 PM,03:00 PM,FREE,BUSY
01/03/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/03/25,01/03/25,07:00 PM,07:00 PM,FALSE,TRUE,01/03/25,03:00 PM,03:00 PM,FREE,BUSY
01/04/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/04/25,01/04/25,07:00 PM,07:00 PM,FALSE,TRUE,01/04/25,03:00 PM,03:00 PM,FREE,BUSY
01/05/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/05/25,01/05/25,07:00 PM,07:00 PM,FALSE,TRUE,01/05/25,03:00 PM,03:00 PM,FREE,BUSY
01/06/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/06/25,01/06/25,07:00 PM,07:00 PM,FALSE,TRUE,01/06/25,03:00 PM,03:00 PM,FREE,BUSY
01/07/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/07/25,01/07/25,07:00 PM,07:00 PM,FALSE,TRUE,01/07/25,03:00 PM,03:00 PM,FREE,BUSY
01/08/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/08/25,01/08/25,07:00 PM,07:00 PM,FALSE,TRUE,01/08/25,03:00 PM,03:00 PM,FREE,BUSY
01/09/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/09/25,01/09/25,07:00 PM,07:00 PM,FALSE,TRUE,01/09/25,03:00 PM,03:00 PM,FREE,BUSY
01/10/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/10/25,01/10/25,07:00 PM,07:00 PM,FALSE,TRUE,01/10/25,03:00 PM,03:00 PM,FREE,BUSY
01/11/25,04:00 PM,04:00 PM,2025 Classic Tour,Yankee Stadium - Bronx,"",01/11/25,01/11/25,07:00 PM,07:00 PM,FALSE,TRUE,01/11/25,03:00 PM,03:00 PM,FREE,BUSY
